pdf_url,question,politician,lastname,firstname
http://interactive.guim.co.uk/australia/2015/jan/63_Perrottet_Dominic.pdf,"Transcribe the register of interests for Perrottet, Dominic","Perrottet, Dominic",Perrottet,Dominic
http://interactive.guim.co.uk/australia/2015/jan/64_Perry_Barbara.pdf,"Transcribe the register of interests for Perry, Barbara","Perry, Barbara",Perry,Barbara
http://interactive.guim.co.uk/australia/2015/jan/65_Piccoli_Adrian.pdf,"Transcribe the register of interests for Piccoli, Adrian","Piccoli, Adrian",Piccoli,Adrian
http://interactive.guim.co.uk/australia/2015/jan/66_Piper_Greg.pdf,"Transcribe the register of interests for Piper, Greg","Piper, Greg",Piper,Greg
http://interactive.guim.co.uk/australia/2015/jan/67_Provest_Geoff.pdf,"Transcribe the register of interests for Provest, Geoff","Provest, Geoff",Provest,Geoff
http://interactive.guim.co.uk/australia/2015/jan/68_Rees_Nathan.pdf,"Transcribe the register of interests for Rees, Nathan","Rees, Nathan",Rees,Nathan
http://interactive.guim.co.uk/australia/2015/jan/69_Roberts_Anthony.pdf,"Transcribe the register of interests for Roberts, Anthony","Roberts, Anthony",Roberts,Anthony
http://interactive.guim.co.uk/australia/2015/jan/6_Barr_Clayton.pdf,"Transcribe the register of interests for Barr, Clayton","Barr, Clayton",Barr,Clayton
http://interactive.guim.co.uk/australia/2015/jan/70_Robertson_John.pdf,"Transcribe the register of interests for Robertson, John","Robertson, John",Robertson,John
http://interactive.guim.co.uk/australia/2015/jan/71_Rohan_Andrew.pdf,"Transcribe the register of interests for Rohan, Andrew","Rohan, Andrew",Rohan,Andrew
http://interactive.guim.co.uk/australia/2015/jan/72_Rowell_Jai.pdf,"Transcribe the register of interests for Rowell, Jai","Rowell, Jai",Rowell,Jai
http://interactive.guim.co.uk/australia/2015/jan/73_Sage_Roza.pdf,"Transcribe the register of interests for Sage, Roza","Sage, Roza",Sage,Roza
http://interactive.guim.co.uk/australia/2015/jan/74_Sidoti_John.pdf,"Transcribe the register of interests for Sidoti, John","Sidoti, John",Sidoti,John
http://interactive.guim.co.uk/australia/2015/jan/75_Skinner_Jillian.pdf,"Transcribe the register of interests for Skinner,  Jillian","Skinner,  Jillian",Skinner,Jillian
http://interactive.guim.co.uk/australia/2015/jan/76_Smith_Greg.pdf,"Transcribe the register of interests for Smith, Greg","Smith, Greg",Smith,Greg
http://interactive.guim.co.uk/australia/2015/jan/77_Souris_George.pdf,"Transcribe the register of interests for Souris, George","Souris, George",Souris,George
http://interactive.guim.co.uk/australia/2015/jan/78_Speakman_Mark.pdf,"Transcribe the register of interests for Speakman, Mark","Speakman, Mark",Speakman,Mark
http://interactive.guim.co.uk/australia/2015/jan/79_Spence_Chris.pdf,"Transcribe the register of interests for Spence, Chris","Spence, Chris",Spence,Chris
http://interactive.guim.co.uk/australia/2015/jan/7_Bassett_Bart.pdf,"Transcribe the register of interests for Bassett, Bart","Bassett, Bart",Bassett,Bart
http://interactive.guim.co.uk/australia/2015/jan/80_Stokes_Rob.pdf,"Transcribe the register of interests for Stokes, Rob","Stokes, Rob",Stokes,Rob
